 BACKUPSERIE FRA HYDARK SKREVET FORMATERT
 ISER1....:  9001
 CVER.....: J
 CTYPE....: 1
 SNAVN....: DRIVA               
 RSKAL....:   374.970184
 IAR1.....: 1930
 IAR2.....: 1990
 RMID.....:      489.020386
 DDAT.....:   19970317
 VNR......:  136
 ENR......:   97    -1    -1    -1  
 FNR......:   14
 GNR......:    0
 FELT.....:     1.000000
 CPERS....: schjlberg       
 NVEKOD...: KOFOT   
 HNR......:    0
 NLIN.....:    9
 JSID.....:    0     0     0     0     0     0  
 CKOM.. 1.: Seriens opphav: KOFOT-OMFORDEL                      
 CKOM.. 2.: Serie det ble kalibrert mot : 9648-A                
 CKOM.. 3.:                                                     
 CKOM.. 4.: Serie som ble omfordelt     : sum driva             
 CKOM.. 5.: sum driva. Beregnet hele perioden.                  
 CKOM.. 6.: Middelverdier       1931-1960         1931-1980     
 CKOM.. 7.: Kalibrert :     169.99 MM3/UKE      167.85 MM3/UKE  
 CKOM.. 8.: Simulert  :     497.14 MM3/UKE      489.27 MM3/UKE  
 CKOM.. 9.: Variansdekning R**R= .9                             
 CKOM..10.:                                                     
 CKOM..11.:                                                     
 CKOM..12.:                                                     

      3378      1925      2575       232       488      4285      4084      2426
      2133      1784       500       852       396      1363       891       920
      1118       337      1358       953

       849       561       592       653       362       725      1416      1350
       475       410       626       373       537       367       576       426
      1327      1299      3014      5769      8360      6080     11440     11580
     20095     12053     12729     14047      8457      7040      6430      5283
      4091      2734      3904      3920      5499      6255      2705      3084
      2007      5934      4782      1850       614       764       900      1359
      2483      1059       804       913

       488      1571       691       474       768       537       312       560
       678        50       366       552       271       253       177       644
      2793      3562      9573      9216      7822     16560      8484      4244
      7222      8949      3635      3602      3058      3456      2977      2091
      2259      1533      1359       578       939      1565      4265      3351
      4039      2134      4162      3533       934       935       932       386
      1051       471      1542       420

       670       267       821      1760      1216      1439       819       746
       362       620       417       613        63       226       576      1034
      2625      6106      7940      5187     11165     11898      9957     17146
     14922     13504      8046      7001      6370      5285      5040      3080
      2951      2574      6322      4562      2061      2888      3337      2930
      2629      1812      1581       999      2157      1578      1797      1056
       588       782       888       924

      1418       642       774       641       805      2098      1177       616
       842       538      1557      1399       233       629       334       915
      1428      3012      4532      4970      6041      9378     20591     25924
     19675     21286     10849      8094      9890     11210      6880      4867
      3462      2550      3017      2693      2526      2674      2312      2183
      3189      3978      2805      2020       653       489        40        99
       360       220       553      1033

       251       314       194       761       349        87       376       222
       107       352       649       836       464        63         0         0
         0      5760      5076      8215      8829      5097     10089     13497
     11246      5050      4431      7416      3703      3449      3259      3365
      2923      2229      1696      3144      4406      8001      8758      6356
      2867      1607      1476       866       635       592       622        13
       102         0       463       668

       615      1507      1193       543       621      1282       564       647
       402       308       620      1097       391       371       391      1876
      1825       811      2097      4489     13494     28778     19060     11809
     16282     13358     15072     12739     11498      7424      7571      4919
      3476      1764      1662      2668      1347      1058       761      1172
      1531      1409       579       582       390       518      2250      1957
      2971      2810      3502      1771

       605      1180       395      1464      1471       795      1140       951
       442      1359      1397       414       740       777       563       748
      3291      3504      2246      4246      7777     12356     26523     26988
     29144     25450     24888      6605      5893      7050      5106      4553
      2704      2652      2609      2793      2090      1038       363      1189
      1581      1812      3470      1012       909       726       678       502
      1102       971       509       423

       406       357       536       262       142       256       330       132
        44      1057       524       168       210      1335      1090       990
      1523      2471      5627      4254      4898      9294      8138      7705
      8857      6081      3591      2955      5040      3700      2272      1648
      1166      2825      2088      3481      1942      2059      4181      4215
      5068      3860      2474      2597      1131      1258      1172      1058
      1187      1151       649       865

       671       828       494       337       357       488       404       486
       552       647       519       305       286       134       302       291
       721      1767      7348      7231      9555     14800     19644     11961
      9124      7852      5225      4910      6154      6474      5107      2650
      2334      1365       973      3046      1624      1440      1977      1094
      1317      2480      2399      1055      1071       803       615       654
       729       966      2237      1404

      1026      2267      1215       814      1303      2096       655       780
       682      1359       600       231       985       722       451       357
       639      2254      5051     11881      9001     22405     13538     10009
      7015     14832     14537      9909      6836      7223      4643      2918
      2063      1349       937       839      1964      3066      5202      7630
      9552      3128      2574      3585      2477      2336      2211      1960
      1777      1926      3257      2524

      1090       754       352       360        31       512       528       431
       270       406       637      1525       775       779       195       728
      1107      4008      7213      7667     10793     15113     23193     13226
     14404     14839     16290      7537      3848      3077      1972      1280
      1667      1377       998      1188       791      2231      2362      2728
      3138      4076      2299      1443      1195      1328      1240       989
       804       748       467       763

      2920      3789      1133       893       902       828       789       813
       763       805       818       868      1391       851       660       827
       946      1042      4596      4401     11186     32000     16609      7666
     13238     10763      9917     10546      9797      6541      3605      2947
      2113      2259      1989      3713      8109      3306      2003      3993
      2450      1624      2144      1697      2762      1584      1432      1456
      1211      1149      1206      1147

       938       889       884       806       819       742       750       737
       726       750       709       658       708      1148      1219      2114
      2911      3929      4913     10633     13196      5726      7452     11013
     13892      6222      5756      5152      5203      4984      4440      3413
      3198      2259      2248      1928      2128      1812      2031      1886
